TimeMs,00:1c:f0:cb:ec:92.APRSSI
1305232444723,
1305232445245,
1305232445782,
1305232446306,
1305232446854,
1305232447375,
1305232447902,
1305232448423,
1305232448953,
1305232449477,
1305232449985,
1305232450523,
1305232451065,
1305232451573,
1305232452110,
1305232452650,
1305232453180,
1305232453706,
1305232454245,
1305232454783,
1305232455355,
1305232455855,
1305232456380,
1305232456906,
1305232457438,
1305232457969,
1305232458504,
1305232459024,
1305232459558,
1305232460083,
1305232460632,
1305232461156,
1305232461679,
1305232462204,
1305232462742,
1305232463286,
1305232463797,
1305232464313,
1305232464866,
1305232465402,
1305232465921,
1305232466445,
1305232466986,
1305232467509,
1305232468038,
1305232468569,
1305232469117,
1305232469647,
1305232470177,
1305232470717,
1305232471252,
1305232471779,
1305232472313,
1305232472839,
1305232473410,
1305232473910,
1305232474438,
1305232474977,
1305232475504,
1305232476032,
1305232476572,
1305232477114,
1305232477646,
1305232478174,
1305232478726,
1305232479243,
1305232479776,
1305232480311,
1305232480844,
1305232481392,
1305232481921,
1305232482441,
1305232482964,
1305232483495,
1305232484025,
1305232484546,
1305232485072,
1305232485585,
1305232486122,
1305232486669,
1305232487218,
1305232487752,
1305232488290,
1305232488819,
1305232489351,
1305232489874,
1305232490397,
1305232490944,
1305232491479,
1305232492006,
1305232492553,
1305232493090,
1305232493632,
1305232494155,
1305232494698,
1305232495247,
1305232495787,
1305232496309,
1305232496854,
1305232497399,
1305232497923,
1305232498441,
1305232498968,
1305232499518,
1305232500033,
1305232500578,
1305232501130,
1305232501651,
1305232502180,
1305232502696,
1305232503236,
1305232503769,
1305232504304,
1305232504844,
1305232505381,
1305232505895,
1305232506426,
1305232506944,
1305232507475,
1305232507979,
1305232508496,
1305232509025,
1305232509559,
1305232510058,
1305232510577,
1305232511112,
1305232511641,
1305232512168,
1305232512710,
1305232513248,
1305232513776,
1305232514309,
1305232514861,
1305232515401,
1305232515910,
1305232516441,
1305232516994,
1305232517572,
1305232518198,
1305232518715,
1305232519302,
1305232519832,
1305232520358,
1305232520906,
1305232521456,
1305232521983,
1305232522505,
1305232523053,
1305232523585,
1305232524105,
1305232524658,
1305232525195,
1305232525712,
1305232526239,
1305232526768,
1305232527300,
1305232527816,
1305232528349,
1305232528897,
1305232529436,
1305232529958,
1305232530509,
1305232531038,
1305232531575,
1305232532092,
1305232532608,
1305232533139,
1305232533662,
1305232534194,
1305232534722,
1305232535261,
1305232535781,
1305232536313,
1305232536844,
1305232537400,
1305232537925,
1305232538456,
1305232539002,
1305232539557,
1305232540075,
1305232540605,
1305232541115,
1305232541637,
1305232542138,
1305232542653,
1305232543189,
1305232543719,
1305232544252,
1305232544798,
1305232545350,
1305232545883,
1305232546413,
1305232546965,
1305232547501,
1305232548035,
1305232548553,
1305232549099,
1305232549651,
1305232550159,
1305232550678,
1305232551225,
1305232551748,
1305232552282,
1305232552827,
1305232553360,
1305232553867,
1305232554403,
1305232554943,
1305232555493,
1305232556024,
1305232556562,
1305232557094,
1305232557650,
1305232558172,
1305232558719,
1305232559265,
1305232559783,
1305232560312,
1305232560851,
1305232561391,
1305232561926,
1305232562453,
1305232562987,
1305232563533,
1305232564051,
1305232564577,
1305232565086,
1305232565608,
1305232566132,
1305232566650,
1305232567180,
1305232567712,
1305232568235,
1305232568767,
1305232569276,
1305232569773,
1305232570305,
1305232570846,
1305232571386,
1305232571920,
1305232572455,
1305232572992,
1305232573532,
1305232574035,
1305232574570,
1305232575106,
1305232575643,
1305232576164,
1305232576694,
1305232577241,
1305232577768,
1305232578282,
1305232578834,
1305232579372,
1305232579922,
1305232580450,
1305232581013,
1305232581548,
1305232582089,
1305232582617,
1305232583170,
1305232583736,
1305232584244,
1305232584760,
1305232585312,
1305232585853,
1305232586370,
1305232586886,
1305232587436,
1305232587967,
1305232588500,
1305232589042,
1305232589584,
1305232590117,
1305232590631,
1305232591149,
1305232591670,
1305232592194,
1305232592714,
1305232593233,
1305232593770,
1305232594272,
1305232594792,
1305232595321,
1305232595855,
1305232596386,
1305232596933,
1305232597457,
1305232597979,
1305232598510,
1305232599043,
1305232599557,
1305232600093,
1305232600624,
1305232601176,
1305232601731,
1305232602257,
1305232602776,
1305232603295,
1305232603808,
1305232604328,
1305232604853,
1305232605407,
1305232605938,
1305232606465,
1305232606992,
1305232607530,
1305232608057,
1305232608597,
1305232609121,
1305232609659,
1305232610183,
1305232610702,
1305232611230,
1305232611817,
1305232612317,
1305232612837,
1305232613360,
1305232613874,
1305232614401,
1305232614945,
1305232615470,
1305232615999,
1305232616523,
1305232617061,
1305232617604,
1305232618109,
1305232618636,
1305232619162,
1305232619688,
1305232620257,
1305232620778,
1305232621310,
1305232621841,
1305232622363,
1305232622888,
1305232623438,
1305232623940,
1305232624473,
1305232625071,
1305232625585,
1305232626121,
1305232626648,
1305232627184,
1305232627732,
1305232628241,
1305232628761,
1305232629291,
1305232629838,
1305232630346,
1305232630863,
1305232631424,
1305232631953,
1305232632485,
1305232633016,
1305232633534,
1305232634058,
1305232634584,
1305232635116,
1305232635661,
1305232636187,
1305232636731,
1305232637290,
1305232637815,
1305232638316,
1305232638832,
1305232639361,
1305232639898,
1305232640400,
1305232640918,
1305232641463,
1305232641976,
1305232642522,
1305232643040,
1305232643574,
1305232644105,
1305232644636,
1305232645166,
1305232645700,
1305232646227,
1305232646761,
1305232647296,
1305232648013,
1305232648523,
1305232649047,
1305232649572,
1305232650102,
1305232650610,
1305232651128,
1305232651671,
1305232652180,
1305232652710,
1305232653254,
1305232653774,
1305232654280,
1305232654801,
1305232655387,
1305232655928,
1305232656426,
1305232656949,
1305232657467,
1305232657991,
1305232658512,
1305232659060,
1305232659607,
1305232660144,
1305232660677,
1305232661211,
1305232661743,
1305232662261,
1305232662794,
1305232663348,
1305232663901,
1305232664419,
1305232664938,
1305232665481,
1305232665986,
1305232666508,
1305232667054,
1305232667577,
1305232668105,
1305232668644,
1305232669172,
1305232669727,
1305232670265,
1305232670818,
1305232671340,
1305232671895,
1305232672402,
1305232672923,
1305232673461,
1305232673986,
1305232674508,
1305232675044,
1305232675559,
1305232676060,
1305232676582,
1305232677134,
1305232677659,
1305232678182,
1305232678714,
1305232679266,
1305232679815,
1305232680351,
1305232680876,
1305232681418,
1305232681998,
1305232682499,
1305232683015,
1305232683545,
1305232684080,
1305232684590,
1305232685088,
1305232685608,
1305232686143,
1305232686646,
1305232687141,
1305232687640,
1305232688137,
1305232688652,
1305232689148,
1305232689646,
1305232690153,
1305232690655,
1305232691172,
1305232691711,
1305232692226,
1305232692733,
1305232693257,
1305232693770,
1305232694266,
1305232694800,
1305232695338,
1305232695870,
1305232696381,
1305232696909,
1305232697441,
1305232698007,
1305232698536,
1305232699081,
1305232699616,
1305232700141,
1305232700648,
1305232701169,
1305232701701,
1305232702207,
1305232702732,
1305232703263,
1305232703788,
1305232704309,
1305232704836,
1305232705367,
1305232705911,
1305232706433,
1305232706951,
1305232707481,
1305232708127,
1305232708628,
1305232709145,
1305232709692,
1305232710205,
1305232710712,
1305232711223,
1305232711755,
1305232712265,
1305232712791,
1305232713295,
1305232713816,
1305232714343,
1305232714872,
1305232715408,
1305232715928,
1305232716444,
1305232716965,
1305232717504,
1305232718058,
1305232718557,
1305232719087,
1305232719627,
1305232720140,
1305232720672,
1305232721224,
1305232721741,
1305232722265,
1305232722789,
1305232723336,
1305232723868,
1305232724405,
1305232724930,
1305232725466,
1305232726016,
1305232726526,
1305232727045,
1305232727583,
1305232728118,
1305232728629,
1305232729152,
1305232729690,
1305232730215,
1305232730752,
1305232731296,
1305232731855,
1305232732382,
1305232732917,
1305232733462,
1305232734010,
1305232734520,
1305232735043,
1305232735570,
1305232736130,
1305232736632,
1305232737149,
1305232737672,
1305232738205,
1305232738726,
1305232739278,
1305232739824,
1305232740363,
1305232740887,
1305232741441,
1305232741985,
1305232742508,
1305232743037,
1305232743566,
1305232744100,
1305232744616,
1305232745113,
1305232745648,
1305232746164,
1305232746661,
1305232747180,
1305232747720,
1305232748287,
1305232748837,
1305232749350,
1305232749871,
1305232750396,
1305232750919,
1305232751445,
1305232751963,
1305232752461,
1305232752989,
1305232753550,
1305232754098,
1305232754599,
1305232755122,
1305232755657,
1305232756192,
1305232756715,
1305232757256,
1305232757803,
1305232758323,
1305232758849,
1305232759370,
1305232759921,
1305232760448,
1305232760982,
1305232761506,
1305232762046,
1305232762577,
1305232763108,
1305232763659,
1305232764211,
1305232764712,
1305232765239,
1305232765734,
1305232766241,
1305232766760,
1305232767298,
1305232767821,
1305232768340,
1305232768875,
1305232769399,
1305232769932,
1305232770469,
1305232770998,
1305232771546,
1305232772095,
1305232772651,
1305232773175,
1305232773711,
1305232774234,
1305232774774,
1305232775311,
1305232775850,
1305232776369,
1305232776913,
1305232777452,
1305232777959,
1305232778464,
1305232778993,
1305232779536,
1305232780088,
1305232780617,
1305232781149,
1305232781668,
1305232782248,
1305232782749,
1305232783278,
1305232783824,
1305232784346,
1305232784875,
1305232785414,
1305232785944,
1305232786478,
1305232787002,
1305232787552,
1305232788102,
1305232788644,
1305232789167,
1305232789716,
1305232790280,
1305232790787,
1305232791304,
1305232791859,
1305232792381,
1305232792923,
1305232793453,
1305232794003,
1305232794520,
1305232795063,
1305232795598,
1305232796152,
1305232796680,
1305232797202,
1305232797733,
1305232798313,
1305232798815,
1305232799339,
1305232799877,
1305232800415,
1305232800941,
1305232801496,
1305232802024,
1305232802561,
1305232803090,
1305232803628,
1305232804164,
1305232804699,
1305232805218,
1305232805753,
1305232806324,
1305232806837,
1305232807367,
1305232807891,
1305232808409,
1305232808940,
1305232809484,
1305232810033,
1305232810566,
1305232811104,
1305232811628,
1305232812151,
1305232812662,
1305232813194,
1305232813740,
1305232814275,
1305232814795,
1305232815323,
1305232815864,
1305232816403,
1305232816923,
1305232817465,
1305232818009,
1305232818542,
1305232819059,
1305232819609,
1305232820149,
1305232820687,
1305232821178,
1305232821704,
1305232822246,
1305232822789,
1305232823304,
1305232823860,
1305232824387,
1305232824901,
1305232825419,
1305232825952,
1305232826483,
1305232827017,
1305232827558,
1305232828102,
1305232828738,
1305232829259,
1305232829777,
1305232830331,
1305232830833,
1305232831351,
1305232831873,
1305232832411,
1305232832912,
1305232833428,
1305232833982,
1305232834508,
1305232835033,
1305232835572,
1305232836110,
1305232836629,
1305232837151,
1305232837679,
1305232838210,
1305232838725,
1305232839230,
1305232839764,
1305232840291,
1305232840832,
1305232841366,
1305232841893,
1305232842426,
1305232842930,
1305232843452,
1305232843999,
1305232844524,
1305232845057,
1305232845598,
1305232846156,
1305232846660,
1305232847199,
1305232847723,
1305232848277,
1305232848812,
1305232849346,
1305232849869,
1305232850413,
1305232850918,
1305232851445,
1305232851976,
1305232852488,
1305232853006,
1305232853538,
1305232854076,
1305232854612,
1305232855148,
1305232855690,
1305232856237,
1305232856746,
1305232857278,
1305232857801,
1305232858321,
1305232858858,
1305232859379,
1305232859926,
1305232860479,
1305232860985,
1305232861508,
1305232862066,
1305232862591,
1305232863133,
1305232863676,
1305232864226,
1305232864754,
1305232865292,
1305232865833,
1305232866358,
1305232866886,
1305232867418,
1305232867952,
1305232868493,
1305232869021,
1305232869581,
1305232870117,
1305232870644,
1305232871168,
1305232871719,
1305232872263,
1305232872799,
1305232873340,
1305232873863,
1305232874386,
1305232874908,
1305232875440,
1305232875988,
1305232876535,
1305232877060,
1305232877589,
1305232878143,
1305232878648,
1305232879184,
1305232879752,
1305232880300,
1305232880815,
1305232881348,
1305232881877,
1305232882408,
1305232882938,
1305232883454,
1305232883980,
1305232884542,
1305232885057,
1305232885583,
1305232886123,
1305232886644,
1305232887187,
1305232887714,
1305232888273,
1305232888805,
1305232889349,
1305232889885,
1305232890438,
1305232890962,
1305232891499,
1305232892020,
1305232892561,
1305232893075,
1305232893613,
1305232894150,
1305232894669,
1305232895205,
1305232895855,
1305232896385,
1305232896914,
1305232897447,
1305232898002,
1305232898581,
1305232899094,
1305232899622,
1305232900166,
1305232900699,
1305232901237,
1305232901781,
1305232902344,
1305232902870,
1305232903407,
1305232903946,
1305232904497,
1305232905006,
1305232905535,
1305232906058,
1305232906597,
1305232907099,
1305232907598,
1305232908114,
1305232908639,
1305232909164,
1305232909714,
1305232910254,
1305232910768,
1305232911294,
1305232911844,
1305232912368,
1305232912894,
1305232913429,
1305232913961,
1305232914499,
1305232915029,
1305232915553,
1305232916090,
1305232916618,
1305232917137,
1305232917676,
1305232918234,
1305232918770,
1305232919311,
1305232919861,
1305232920391,
1305232920931,
1305232921463,
1305232922022,
1305232922578,
1305232923093,
1305232923625,
1305232924165,
1305232924664,
1305232925207,
1305232925730,
1305232926284,
1305232926812,
1305232927353,
1305232927874,
1305232928402,
1305232928921,
1305232929438,
1305232929960,
1305232930516,
1305232931049,
1305232931574,
1305232932101,
1305232932668,
1305232933170,
1305232933701,
1305232934228,
1305232934734,
1305232935275,
1305232935819,
1305232936364,
1305232936879,
1305232937413,
1305232937944,
1305232938487,
1305232939000,
1305232939539,
1305232940087,
1305232940699,
1305232941199,
1305232941731,
1305232942270,
1305232942804,
1305232943337,
1305232943887,
1305232944442,
1305232944956,
1305232945491,
1305232946039,
1305232946589,
1305232947123,
1305232947648,
1305232948182,
1305232948746,
1305232949257,
1305232949779,
1305232950322,
1305232950848,
1305232951385,
1305232951904,
1305232952475,
1305232952996,
1305232953532,
1305232954075,
1305232954624,
1305232955121,
1305232955661,
1305232956184,
1305232956749,
1305232957253,
1305232957784,
1305232958284,
1305232958797,
1305232959332,
1305232959887,
1305232960425,
1305232960949,
1305232961488,
1305232962032,
1305232962579,
1305232963111,
1305232963647,
1305232964189,
1305232964825,
1305232965363,
1305232965902,
1305232966447,
1305232966988,
1305232967520,
1305232968071,
1305232968613,
1305232969143,
1305232969675,
1305232970227,
1305232970770,
1305232971281,
1305232971805,
1305232972330,
1305232972847,
1305232973380,
1305232973929,
1305232974474,
1305232975006,
1305232975551,
1305232976079,
1305232976633,
1305232977136,
1305232977677,
1305232978212,
1305232978778,
1305232979292,
1305232979831,
1305232980352,
1305232980855,
1305232981385,
1305232981942,
1305232982492,
1305232983024,
1305232983561,
1305232984100,
1305232984651,
1305232985187,
1305232985715,
1305232986264,
1305232986830,
1305232987341,
1305232987867,
1305232988399,
1305232988902,
1305232989457,
1305232989984,
1305232990523,
1305232991036,
1305232991573,
1305232992113,
1305232992652,
1305232993169,
1305232993719,
1305232994253,
1305232994791,
1305232995303,
1305232995829,
1305232996371,
1305232996881,
1305232997399,
1305232997945,
1305232998485,
1305232999031,
1305232999571,
1305233000123,
1305233000648,
1305233001171,
1305233001706,
1305233002252,
1305233002788,
1305233003317,
1305233003841,
1305233004392,
1305233004918,
1305233005449,
1305233005992,
1305233006545,
1305233007066,
1305233007614,
1305233008151,
1305233008707,
1305233009231,
1305233009785,
1305233010311,
1305233010852,
1305233011356,
1305233011883,
1305233012414,
1305233012950,
1305233013485,
1305233014051,
1305233014604,
1305233015136,
1305233015669,
1305233016198,
1305233016731,
1305233017276,
1305233017809,
1305233018362,
1305233018932,
1305233019448,
1305233019975,
1305233020531,
1305233021062,
1305233021602,
1305233022146,
1305233022701,
1305233023226,
1305233023763,
1305233024319,
1305233024856,
1305233025379,
1305233025916,
1305233026467,
1305233026991,
1305233027526,
1305233028072,
1305233028616,
1305233029131,
1305233029657,
1305233030187,
1305233030723,
1305233031233,
1305233031914,
1305233032466,
1305233033004,
1305233033528,
1305233034059,
1305233034600,
1305233035137,
1305233035668,
1305233036192,
1305233036742,
1305233037287,
1305233037821,
1305233038362,
1305233038910,
1305233039444,
1305233039961,
1305233040536,
1305233041042,
1305233041582,
1305233042118,
1305233042655,
1305233043183,
1305233043730,
1305233044274,
1305233044829,
1305233045363,
1305233045918,
1305233046451,
1305233046999,
1305233047502,
1305233048034,
1305233048579,
1305233049095,
1305233049634,
1305233050175,
1305233050721,
1305233051250,
1305233051778,
1305233052348,
1305233052888,
1305233053428,
1305233053960,
1305233054508,
1305233055063,
1305233055567,
1305233056118,
1305233056626,
1305233057163,
1305233057699,
1305233058236,
1305233058770,
1305233059291,
