starttime,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel
1294236929.17,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:70,-85,00:1C:F0:CB:EC:92,-51,,,,,,,,,,,,,,,,,,
1294236952.01,00:1C:F0:CB:EC:5B,-79,00:1C:F0:CB:EC:92,-56,00:1C:F0:CB:EC:95,-79,00:19:5B:77:A5:EE,-86,,,,,,,,,,,,,,,,
1294236974.94,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:95,-80,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:89,-70,00:15:6D:65:17:B6,-76,,,,,,,,,,,,,,
1294236997.86,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:89,-72,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:92,-54,,,,,,,,,,,,,,,,
1294237020.81,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,,,,,,,
1294237043.75,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:89,-69,00:1C:F0:CB:EC:5B,-75,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:E9:25,-88,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,
1294237066.58,00:19:5B:77:A5:EE,-84,,,,,,,,,,,,,,,,,,,,,,
1294237089.41,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:5B,-71,00:1C:F0:CB:EC:92,-63,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,
1294237112.37,00:1C:F0:CB:EC:92,-64,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,,,,,,,,,
1294237135.21,00:0C:42:68:DE:D3,-84,00:15:6D:65:17:B6,-77,00:1C:F0:CB:EC:89,-75,00:1C:F0:CB:EC:5B,-68,,,,,,,,,,,,,,,,
1294237158.05,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:92,-67,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:89,-73,00:19:5B:77:A5:EE,-80,,,,,,,,,,,,,,
