TimeMs,00:1c:f0:cb:ec:95.APRSSI
1305179016330,-88
1305179020229,-86
1305179024056,-88
1305179027625,-86
1305179030366,-86
1305179039707,-85
1305179042787,-86
1305179047722,-86
1305179050540,-82
1305179053750,-85
1305179056242,-85
1305179059747,-86
1305179062588,-86
1305179065023,-85
1305179069367,-84
1305179071329,-84
1305179074012,-87
1305179076271,-87
1305179081164,-86
1305179084466,-87
1305179088516,-88
1305179091809,-86
1305179094860,-86
1305179097808,-86
1305179100993,-87
1305179103910,-88
1305179106710,-88
1305179111514,-88
1305179115917,-88
1305179119861,-86
1305179122460,-86
1305179126434,-88
1305179129773,-86
1305179133520,-86
1305179136583,-84
1305179139494,-87
1305179142368,-87
1305179154055,-86
1305179156496,-87
1305179162690,-87
1305179165890,-87
1305179169120,-87
1305179171316,-87
1305179174390,-87
1305179177276,-87
1305179180182,-87
1305179183040,-87
1305179190123,-86
1305179192107,-86
1305179194525,-88
1305179197544,-87
1305179199902,-87
1305179202912,-86
1305179206952,-86
1305179210594,-89
1305179215162,-89
1305179218487,-87
1305179221438,-87
1305179224738,-86
1305179227834,-86
1305179233076,-84
1305179235920,-84
1305179238885,-88
1305179241945,-88
1305179246975,-86
1305179249239,-86
1305179252013,-86
1305179255972,-87
1305179258831,-87
1305179261880,-86
1305179264357,-86
1305179270736,-86
1305179274725,-87
1305179278566,-89
1305179281615,-88
1305179284392,-87
1305179287520,-86
1305179291404,-88
1305179294030,-88
1305179296584,-88
1305179300168,-84
1305179303271,-84
1305179307932,-86
1305179310300,-86
1305179313566,-87
1305179316761,-87
1305179320092,-87
1305179322543,-87
1305179326653,-85
1305179342230,-85
1305179346144,-86
1305179350332,-87
1305179353259,-87
1305179356561,-88
1305179360139,-88
1305179363870,-88
1305179366660,-86
1305179369741,-91
1305179372709,-86
1305179375335,-86
1305179384314,-90
1305179386220,-90
1305179389039,-87
1305179393912,-88
1305179397800,-88
1305179402204,-86
1305179405164,-87
1305179407920,-87
1305179410612,-86
1305179413637,-87
1305179416379,-83
1305179419002,-87
1305179421252,-87
1305179426107,-88
1305179428502,-88
1305179433914,-86
1305179436143,-86
1305179439475,-85
1305179442333,-85
1305179445366,-87
1305179448071,-87
1305179452520,-88
1305179455134,-88
1305179464247,-89
1305179466638,-87
1305179469316,-89
1305179474915,-87
1305179477472,-87
1305179481837,-86
1305179484395,-86
1305179487741,-92
1305179490384,-86
1305179493289,-87
1305179497056,-85
1305179503613,-89
1305179505705,-89
1305179508451,-88
1305179511640,-86
1305179514720,-85
1305179525455,-86
1305179528230,-86
1305179533085,-85
1305179536070,-86
1305179538899,-87
1305179541665,-87
1305179544692,-86
1305179547998,-89
1305179552974,-87
1305179555185,-87
1305179558150,-87
1305179564835,-91
1305179566957,-91
1305179568996,-87
1305179572558,-88
1305179574666,-88
1305179580549,-87
1305179607772,-92
1305179610772,-90
1305179614033,-90
1305179616882,-86
1305179619413,-92
1305179622649,-89
1305179625149,-89
1305179628167,-87
1305179632593,-88
1305179635432,-86
1305179642759,-86
1305179646128,-88
1305179648595,-88
1305179660778,-83
1305179663100,-83
1305179665227,-84
1305179667585,-90
1305179671814,-86
1305179673887,-86
1305179676341,-87
1305179678857,-86
1305179681354,-88
1305179684763,-92
1305179688612,-88
1305179694257,-85
1305179701472,-87
1305179705187,-88
1305179715433,-87
1305179718034,-87
1305179720763,-87
1305179724162,-87
1305179727321,-87
1305179729763,-84
1305179732954,-84
1305179735826,-90
1305179738685,-84
1305179741563,-85
1305179746922,-86
1305179752135,-88
1305179758862,-86
1305179761139,-86
1305179766583,-87
1305179793055,-87
1305179805006,-86
1305179808213,-89
1305179810309,-89
1305179814269,-89
1305179817004,-87
1305179819689,-87
1305179828302,-87
1305179831419,-86
1305179835425,-87
1305179840130,-86
1305179845216,-87
1305179849697,-88
1305179862498,-85
1305179867725,-84
1305179870983,-87
1305179873337,-87
1305179876847,-92
1305179879783,-92
1305179885248,-88
1305179890327,-88
1305179892788,-86
1305179900258,-88
1305179902779,-88
1305179905630,-86
1305179909502,-89
1305179912027,-89
1305179914138,-86
1305179919013,-86
1305179923082,-88
1305179927327,-89
1305179930334,-85
1305179933384,-87
1305179936189,-87
1305179940874,-90
1305179943448,-90
1305179948698,-86
1305179960508,-87
1305179963139,-87
1305179966997,-88
1305179974180,-88
1305179976817,-89
1305179978533,-88
1305179982764,-86
1305179986212,-86
1305179989344,-87
1305179992098,-89
1305179995380,-86
1305179998110,-88
1305180001680,-87
1305180004388,-92
1305180011356,-87
1305180013907,-87
1305180018782,-90
1305180021092,-90
1305180024244,-89
1305180026372,-89
1305180028456,-86
1305180031778,-85
1305180034401,-85
1305180037483,-86
1305180040305,-86
1305180043105,-87
1305180045385,-87
1305180048659,-87
1305180053224,-87
1305180055692,-87
1305180058254,-89
1305180062026,-87
1305180064723,-87
1305180067545,-89
1305180073416,-86
1305180081842,-86
1305180086462,-92
1305180088636,-92
1305180092115,-86
1305180095424,-88
1305180098124,-88
1305180100720,-86
1305180104320,-86
1305180107796,-90
1305180110660,-92
1305180113140,-92
1305180116530,-90
1305180120944,-88
1305180123469,-88
1305180128698,-88
1305180131538,-88
1305180136703,-86
1305180139518,-86
1305180143020,-87
1305180145890,-87
1305180148516,-90
1305180151442,-92
1305180154067,-92
1305180157214,-89
1305180159915,-89
1305180162414,-89
1305180165302,-86
1305180168905,-88
1305180171322,-88
1305180175532,-88
1305180178596,-88
1305180183385,-87
1305180186268,-87
1305180190653,-86
1305180193812,-86
1305180196363,-90
1305180199211,-87
1305180201293,-87
1305180204571,-87
1305180207567,-87
1305180210500,-88
1305180213757,-89
1305180217194,-86
1305180219887,-86
1305180223442,-86
1305180225747,-86
1305180229519,-89
1305180232588,-88
1305180235929,-90
1305180238309,-90
1305180241167,-86
1305180244116,-86
1305180246921,-86
1305180250277,-82
1305180253402,-82
1305180256522,-85
1305180259474,-87
1305180262712,-87
1305180265704,-86
1305180269049,-86
1305180271611,-86
1305180275618,-88
1305180278808,-92
1305180281292,-87
1305180284031,-84
1305180286937,-86
1305180289981,-86
1305180293319,-89
1305180295956,-89
1305180299468,-92
1305180301770,-92
1305180305089,-88
1305180308052,-84
1305180312713,-87
1305180315731,-84
1305180318559,-85
1305180320987,-85
1305180323776,-85
1305180326737,-86
1305180329216,-92
1305180331765,-86
1305180334637,-85
1305180338354,-87
1305180341838,-92
1305180344449,-86
1305180347461,-82
1305180350319,-82
1305180353158,-85
1305180356514,-87
1305180359194,-87
1305180361492,-88
1305180364059,-90
1305180366853,-84
1305180370484,-86
1305180373484,-87
1305180387510,-87
1305180390849,-85
1305180396173,-85
1305180399514,-86
1305180402350,-86
1305180405461,-86
1305180408166,-85
1305180411016,-86
1305180414412,-86
1305180417890,-87
1305180420578,-88
1305180423330,-83
1305180426217,-86
1305180429005,-86
1305180433138,-86
