"","x"
"597",-58.7
"598",-58.7
"599",-58.72
"600",-58.7233333333333
"601",-58.75
"602",-58.74
"603",-58.7333333333333
"604",-58.7366666666667
"605",-58.6866666666667
"606",-58.69
"607",-58.6666666666667
"608",-58.62
"609",-58.6466666666667
"610",-58.5966666666667
"611",-58.5566666666667
"612",-58.53
"613",-58.5266666666667
"614",-58.5033333333333
"615",-58.5166666666667
"616",-58.5
"617",-58.5
"618",-58.4466666666667
"619",-58.44
"620",-58.42
"621",-58.4433333333333
"622",-58.4
"623",-58.4033333333333
"624",-58.3966666666667
"625",-58.42
"626",-58.41
"627",-58.4166666666667
"628",-58.37
"629",-58.3933333333333
"630",-58.46
"631",-58.47
"632",-58.4966666666667
"633",-58.4866666666667
"634",-58.4933333333333
"635",-58.4633333333333
"636",-58.48
"637",-58.4666666666667
"638",-58.5366666666667
"639",-58.54
"640",-58.52
"641",-58.5433333333333
"642",-58.5433333333333
"643",-58.5533333333333
"644",-58.55
"645",-58.5733333333333
"646",-58.5533333333333
"647",-58.5533333333333
"648",-58.5333333333333
"649",-58.5033333333333
"650",-58.5533333333333
"651",-58.5533333333333
"652",-58.5666666666667
"653",-58.5733333333333
"654",-58.5666666666667
"655",-58.5566666666667
"656",-58.57
"657",-58.5666666666667
"658",-58.59
"659",-58.55
"660",-58.5833333333333
"661",-58.5533333333333
"662",-58.55
"663",-58.5633333333333
"664",-58.5333333333333
"665",-58.5333333333333
"666",-58.4833333333333
"667",-58.4633333333333
"668",-58.4633333333333
"669",-58.4433333333333
"670",-58.45
"671",-58.4466666666667
"672",-58.47
"673",-58.4333333333333
"674",-58.3833333333333
"675",-58.3566666666667
"676",-58.3266666666667
"677",-58.3633333333333
"678",-58.4166666666667
"679",-58.4033333333333
"680",-58.39
"681",-58.43
"682",-58.44
"683",-58.46
"684",-58.4966666666667
"685",-58.49
"686",-58.5033333333333
"687",-58.5066666666667
"688",-58.5066666666667
"689",-58.4833333333333
"690",-58.44
"691",-58.4233333333333
"692",-58.4433333333333
"693",-58.4666666666667
"694",-58.51
"695",-58.5133333333333
"696",-58.4566666666667
"697",-58.4566666666667
"698",-58.4933333333333
"699",-58.49
"700",-58.4766666666667
"701",-58.4866666666667
"702",-58.4866666666667
"703",-58.4866666666667
"704",-58.4533333333333
"705",-58.4833333333333
"706",-58.46
"707",-58.48
"708",-58.5
"709",-58.4866666666667
"710",-58.4933333333333
"711",-58.4766666666667
"712",-58.48
"713",-58.47
"714",-58.4766666666667
"715",-58.51
"716",-58.53
"717",-58.48
"718",-58.44
"719",-58.4366666666667
"720",-58.4066666666667
"721",-58.44
"722",-58.45
"723",-58.4966666666667
"724",-58.5
"725",-58.5333333333333
"726",-58.5333333333333
"727",-58.5233333333333
"728",-58.5366666666667
"729",-58.49
"730",-58.4933333333333
"731",-58.5
"732",-58.4633333333333
"733",-58.4833333333333
"734",-58.5233333333333
"735",-58.51
"736",-58.5333333333333
"737",-58.5366666666667
"738",-58.54
"739",-58.54
"740",-58.5533333333333
"741",-58.5166666666667
"742",-58.5133333333333
"743",-58.4966666666667
"744",-58.4366666666667
"745",-58.46
"746",-58.4866666666667
"747",-58.49
"748",-58.5633333333333
"749",-58.6066666666667
"750",-58.59
"751",-58.5233333333333
"752",-58.4866666666667
"753",-58.48
"754",-58.5533333333333
"755",-58.5733333333333
"756",-58.6233333333333
"757",-58.6233333333333
"758",-58.6333333333333
"759",-58.62
"760",-58.6333333333333
"761",-58.6566666666667
"762",-58.62
"763",-58.58
"764",-58.5633333333333
"765",-58.61
"766",-58.6166666666667
"767",-58.6
"768",-58.5966666666667
"769",-58.6066666666667
"770",-58.63
"771",-58.59
"772",-58.53
"773",-58.58
"774",-58.5433333333333
"775",-58.52
"776",-58.49
"777",-58.4966666666667
"778",-58.4766666666667
"779",-58.5233333333333
"780",-58.5533333333333
"781",-58.49
"782",-58.49
"783",-58.51
"784",-58.5133333333333
"785",-58.53
"786",-58.5133333333333
"787",-58.4966666666667
"788",-58.47
"789",-58.4866666666667
"790",-58.53
"791",-58.5033333333333
"792",-58.4933333333333
"793",-58.4766666666667
"794",-58.4866666666667
"795",-58.4766666666667
"796",-58.5266666666667
"797",-58.48
"798",-58.46
"799",-58.4433333333333
"800",-58.4033333333333
"801",-58.3966666666667
"802",-58.3966666666667
"803",-58.4
"804",-58.39
"805",-58.3766666666667
"806",-58.3533333333333
"807",-58.34
"808",-58.3333333333333
"809",-58.3366666666667
"810",-58.3433333333333
"811",-58.33
"812",-58.3366666666667
"813",-58.3433333333333
"814",-58.3833333333333
"815",-58.37
"816",-58.3833333333333
"817",-58.37
"818",-58.3233333333333
"819",-58.35
"820",-58.35
"821",-58.3866666666667
"822",-58.3766666666667
"823",-58.4266666666667
"824",-58.45
"825",-58.4266666666667
"826",-58.4033333333333
"827",-58.4533333333333
"828",-58.43
"829",-58.4533333333333
"830",-58.46
"831",-58.4866666666667
"832",-58.4933333333333
"833",-58.4733333333333
"834",-58.46
"835",-58.4833333333333
"836",-58.5166666666667
"837",-58.48
"838",-58.49
"839",-58.4666666666667
"840",-58.49
"841",-58.51
"842",-58.5066666666667
"843",-58.5333333333333
"844",-58.53
"845",-58.51
"846",-58.4933333333333
"847",-58.5333333333333
"848",-58.5766666666667
"849",-58.5766666666667
"850",-58.5866666666667
"851",-58.6033333333333
"852",-58.5666666666667
"853",-58.6066666666667
"854",-58.6633333333333
"855",-58.6166666666667
"856",-58.6033333333333
"857",-58.6133333333333
"858",-58.5966666666667
"859",-58.5833333333333
"860",-58.5166666666667
"861",-58.52
"862",-58.5266666666667
"863",-58.5233333333333
"864",-58.5066666666667
"865",-58.51
"866",-58.5133333333333
"867",-58.52
"868",-58.5666666666667
"869",-58.5366666666667
"870",-58.5333333333333
"871",-58.5433333333333
"872",-58.53
"873",-58.5533333333333
"874",-58.5366666666667
"875",-58.54
"876",-58.5466666666667
"877",-58.5666666666667
"878",-58.56
"879",-58.5166666666667
"880",-58.5166666666667
"881",-58.5133333333333
"882",-58.5166666666667
"883",-58.5366666666667
"884",-58.5166666666667
"885",-58.5266666666667
"886",-58.5
"887",-58.4866666666667
"888",-58.4933333333333
"889",-58.4933333333333
"890",-58.4733333333333
"891",-58.4633333333333
"892",-58.45
"893",-58.43
"894",-58.44
"895",-58.4433333333333
"896",-58.4066666666667
"897",-58.3633333333333
"898",-58.3633333333333
"899",-58.3466666666667
"900",-58.3233333333333
"901",-58.3266666666667
"902",-58.36
"903",-58.4066666666667
"904",-58.3833333333333
"905",-58.41
"906",-58.4066666666667
"907",-58.4066666666667
"908",-58.4333333333333
"909",-58.4533333333333
"910",-58.4933333333333
"911",-58.54
"912",-58.61
"913",-58.6
"914",-58.57
"915",-58.53
"916",-58.52
"917",-58.55
"918",-58.5566666666667
"919",-58.5666666666667
"920",-58.5733333333333
"921",-58.5033333333333
"922",-58.4833333333333
"923",-58.49
"924",-58.49
"925",-58.45
"926",-58.48
"927",-58.5066666666667
"928",-58.5566666666667
"929",-58.5566666666667
"930",-58.4933333333333
"931",-58.5066666666667
"932",-58.4933333333333
"933",-58.5033333333333
"934",-58.4933333333333
"935",-58.5233333333333
"936",-58.5033333333333
"937",-58.5033333333333
"938",-58.4366666666667
"939",-58.4133333333333
"940",-58.4966666666667
"941",-58.4566666666667
"942",-58.4966666666667
"943",-58.4966666666667
"944",-58.5266666666667
"945",-58.5766666666667
"946",-58.5766666666667
"947",-58.5833333333333
"948",-58.5633333333333
"949",-58.6166666666667
"950",-58.6366666666667
"951",-58.66
"952",-58.6433333333333
"953",-58.6633333333333
"954",-58.6933333333333
"955",-58.72
"956",-58.7266666666667
"957",-58.7433333333333
"958",-58.7366666666667
"959",-58.7166666666667
"960",-58.7066666666667
"961",-58.73
"962",-58.7066666666667
"963",-58.6833333333333
"964",-58.7366666666667
"965",-58.7533333333333
"966",-58.77
"967",-58.77
"968",-58.7966666666667
"969",-58.7966666666667
"970",-58.8533333333333
"971",-58.86
"972",-58.83
"973",-58.8233333333333
"974",-58.85
"975",-58.8766666666667
"976",-58.8433333333333
"977",-58.8133333333333
"978",-58.7466666666667
"979",-58.7166666666667
"980",-58.67
"981",-58.6066666666667
"982",-58.58
"983",-58.55
"984",-58.5366666666667
"985",-58.5466666666667
"986",-58.55
"987",-58.57
"988",-58.6366666666667
"989",-58.62
"990",-58.6633333333333
"991",-58.6633333333333
"992",-58.6566666666667
"993",-58.6533333333333
"994",-58.61
"995",-58.6233333333333
"996",-58.6066666666667
"997",-58.6266666666667
"998",-58.5833333333333
"999",-58.6133333333333
"1000",-58.5833333333333
"1001",-58.5933333333333
"1002",-58.5733333333333
"1003",-58.5633333333333
"1004",-58.54
"1005",-58.51
"1006",-58.5233333333333
"1007",-58.5266666666667
"1008",-58.5266666666667
"1009",-58.5466666666667
"1010",-58.5466666666667
"1011",-58.5666666666667
"1012",-58.63
"1013",-58.62
"1014",-58.6233333333333
"1015",-58.5766666666667
"1016",-58.6066666666667
"1017",-58.6033333333333
"1018",-58.6233333333333
"1019",-58.6433333333333
"1020",-58.6666666666667
"1021",-58.6233333333333
"1022",-58.6633333333333
"1023",-58.6366666666667
"1024",-58.62
"1025",-58.6033333333333
"1026",-58.66
"1027",-58.6933333333333
"1028",-58.7066666666667
"1029",-58.6866666666667
"1030",-58.6866666666667
"1031",-58.6933333333333
"1032",-58.6833333333333
"1033",-58.7133333333333
"1034",-58.71
"1035",-58.7266666666667
"1036",-58.7
"1037",-58.6966666666667
"1038",-58.7466666666667
"1039",-58.79
"1040",-58.8
"1041",-58.7833333333333
"1042",-58.7833333333333
"1043",-58.76
"1044",-58.8033333333333
"1045",-58.8133333333333
"1046",-58.7933333333333
"1047",-58.8433333333333
"1048",-58.8233333333333
"1049",-58.84
"1050",-58.8333333333333
"1051",-58.8533333333333
"1052",-58.8666666666667
"1053",-58.9133333333333
"1054",-58.8466666666667
"1055",-58.82
"1056",-58.7933333333333
"1057",-58.7833333333333
"1058",-58.8266666666667
"1059",-58.8466666666667
"1060",-58.8466666666667
"1061",-58.81
"1062",-58.82
"1063",-58.8133333333333
"1064",-58.8466666666667
"1065",-58.83
"1066",-58.86
"1067",-58.89
"1068",-58.9166666666667
"1069",-58.8966666666667
"1070",-58.8766666666667
"1071",-58.8866666666667
"1072",-58.91
"1073",-58.88
"1074",-58.88
"1075",-58.9166666666667
"1076",-58.94
"1077",-58.9466666666667
"1078",-58.9366666666667
"1079",-58.8933333333333
"1080",-58.87
"1081",-58.8633333333333
"1082",-58.84
"1083",-58.8666666666667
"1084",-58.9333333333333
"1085",-58.9233333333333
"1086",-58.9533333333333
"1087",-58.96
"1088",-58.97
"1089",-58.98
"1090",-58.9533333333333
"1091",-58.9433333333333
"1092",-58.9933333333333
"1093",-59.02
"1094",-59.0166666666667
"1095",-59.0266666666667
"1096",-59.05
"1097",-59.03
"1098",-59.02
"1099",-59.0466666666667
"1100",-59.11
"1101",-59.1033333333333
"1102",-59.0833333333333
"1103",-59.0866666666667
"1104",-59.1
"1105",-59.1266666666667
"1106",-59.1433333333333
"1107",-59.19
"1108",-59.25
"1109",-59.28
"1110",-59.2566666666667
"1111",-59.2766666666667
"1112",-59.27
"1113",-59.2766666666667
"1114",-59.2966666666667
"1115",-59.3
"1116",-59.3133333333333
"1117",-59.3366666666667
"1118",-59.3633333333333
"1119",-59.3633333333333
"1120",-59.3833333333333
"1121",-59.3833333333333
"1122",-59.39
"1123",-59.3333333333333
"1124",-59.3433333333333
"1125",-59.3566666666667
"1126",-59.38
"1127",-59.3333333333333
"1128",-59.3566666666667
"1129",-59.3233333333333
"1130",-59.3233333333333
"1131",-59.3233333333333
"1132",-59.3
"1133",-59.3233333333333
"1134",-59.3233333333333
"1135",-59.33
"1136",-59.3066666666667
"1137",-59.3233333333333
"1138",-59.3233333333333
"1139",-59.3533333333333
"1140",-59.3366666666667
"1141",-59.32
"1142",-59.3066666666667
"1143",-59.2866666666667
"1144",-59.3366666666667
"1145",-59.3266666666667
"1146",-59.3666666666667
"1147",-59.3266666666667
"1148",-59.35
"1149",-59.3766666666667
"1150",-59.3866666666667
"1151",-59.4166666666667
"1152",-59.4266666666667
"1153",-59.3933333333333
"1154",-59.37
"1155",-59.3866666666667
"1156",-59.3866666666667
"1157",-59.3966666666667
"1158",-59.3666666666667
"1159",-59.4133333333333
"1160",-59.46
"1161",-59.4366666666667
"1162",-59.46
"1163",-59.4666666666667
"1164",-59.49
"1165",-59.5133333333333
"1166",-59.56
"1167",-59.5766666666667
"1168",-59.5333333333333
"1169",-59.5666666666667
"1170",-59.5766666666667
"1171",-59.55
"1172",-59.5433333333333
"1173",-59.5466666666667
"1174",-59.6
"1175",-59.6133333333333
"1176",-59.62
"1177",-59.6133333333333
"1178",-59.62
"1179",-59.62
"1180",-59.6666666666667
"1181",-59.6666666666667
"1182",-59.6666666666667
"1183",-59.68
"1184",-59.7066666666667
"1185",-59.7033333333333
"1186",-59.71
"1187",-59.7133333333333
"1188",-59.7833333333333
"1189",-59.82
"1190",-59.8033333333333
"1191",-59.7733333333333
"1192",-59.78
"1193",-59.8166666666667
"1194",-59.8233333333333
"1195",-59.7866666666667
"1196",-59.8133333333333
"1197",-59.8366666666667
"1198",-59.8466666666667
"1199",-59.85
"1200",-59.89
"1201",-59.9133333333333
"1202",-59.9266666666667
"1203",-59.89
"1204",-59.8866666666667
"1205",-59.89
"1206",-59.94
"1207",-59.9533333333333
"1208",-59.9566666666667
"1209",-59.92
"1210",-59.91
"1211",-59.8466666666667
"1212",-59.8566666666667
"1213",-59.8233333333333
"1214",-59.8266666666667
"1215",-59.88
"1216",-59.89
"1217",-59.8533333333333
"1218",-59.85
"1219",-59.8733333333333
"1220",-59.8466666666667
"1221",-59.87
"1222",-59.8733333333333
"1223",-59.88
"1224",-59.88
"1225",-59.9066666666667
"1226",-59.9266666666667
"1227",-59.9133333333333
"1228",-59.9133333333333
"1229",-59.91
"1230",-59.9333333333333
"1231",-59.9166666666667
"1232",-59.91
"1233",-59.9166666666667
"1234",-59.94
"1235",-59.9366666666667
"1236",-59.9766666666667
"1237",-60
"1238",-60.0233333333333
"1239",-60.05
"1240",-60.0066666666667
"1241",-60.0133333333333
"1242",-59.9833333333333
"1243",-59.9866666666667
"1244",-59.9733333333333
"1245",-59.9666666666667
"1246",-59.9666666666667
"1247",-59.9666666666667
"1248",-59.99
"1249",-59.9766666666667
"1250",-59.92
"1251",-59.9366666666667
"1252",-59.8966666666667
"1253",-59.8866666666667
"1254",-59.91
"1255",-59.8966666666667
"1256",-59.8833333333333
"1257",-59.8766666666667
"1258",-59.9066666666667
"1259",-59.9066666666667
"1260",-59.9166666666667
"1261",-59.9533333333333
"1262",-59.9666666666667
"1263",-59.98
"1264",-59.9566666666667
"1265",-59.9866666666667
"1266",-60.0166666666667
"1267",-60.0266666666667
"1268",-59.9966666666667
"1269",-59.9766666666667
"1270",-59.9033333333333
"1271",-59.93
"1272",-59.9933333333333
"1273",-59.9733333333333
"1274",-59.97
"1275",-59.9633333333333
"1276",-59.9633333333333
"1277",-59.9733333333333
"1278",-59.9766666666667
"1279",-59.9833333333333
"1280",-59.9933333333333
"1281",-59.99
"1282",-60.02
"1283",-60.0166666666667
"1284",-60.0133333333333
"1285",-60.0133333333333
"1286",-60.04
"1287",-60.02
"1288",-60.0266666666667
"1289",-60.0466666666667
"1290",-60.0233333333333
"1291",-60.0266666666667
"1292",-60.0233333333333
"1293",-60.0133333333333
"1294",-60
"1295",-59.9833333333333
"1296",-60.02
"1297",-60.02
"1298",-60.03
"1299",-59.9833333333333
"1300",-60.03
"1301",-60
"1302",-60.0166666666667
"1303",-60.0633333333333
"1304",-60.07
"1305",-60.1266666666667
"1306",-60.1166666666667
"1307",-60.1066666666667
"1308",-60.0866666666667
"1309",-60.0733333333333
"1310",-60.0833333333333
"1311",-60.09
"1312",-60.04
"1313",-60.06
"1314",-60.0666666666667
"1315",-60.0733333333333
"1316",-60.03
"1317",-60.08
"1318",-60.07
"1319",-60.1
"1320",-60.09
"1321",-60.0833333333333
"1322",-60.0466666666667
"1323",-60.0733333333333
"1324",-60.1166666666667
"1325",-60.0866666666667
"1326",-60.0366666666667
"1327",-60
"1328",-60.0033333333333
"1329",-60.0066666666667
"1330",-60.0133333333333
"1331",-60.01
"1332",-60.0066666666667
"1333",-60
"1334",-59.95
"1335",-59.9633333333333
"1336",-59.9466666666667
"1337",-59.9466666666667
"1338",-59.9066666666667
"1339",-59.88
"1340",-59.9366666666667
"1341",-59.9433333333333
"1342",-59.9333333333333
"1343",-59.9533333333333
"1344",-59.9333333333333
"1345",-59.9166666666667
"1346",-59.9133333333333
"1347",-59.86
"1348",-59.81
"1349",-59.7566666666667
"1350",-59.7866666666667
"1351",-59.7866666666667
"1352",-59.81
"1353",-59.74
"1354",-59.76
"1355",-59.7666666666667
"1356",-59.74
"1357",-59.7566666666667
"1358",-59.7233333333333
"1359",-59.7066666666667
"1360",-59.7066666666667
"1361",-59.7066666666667
"1362",-59.69
"1363",-59.6733333333333
"1364",-59.6866666666667
"1365",-59.6733333333333
"1366",-59.6433333333333
"1367",-59.64
"1368",-59.6466666666667
"1369",-59.6533333333333
"1370",-59.67
"1371",-59.7066666666667
"1372",-59.68
"1373",-59.69
"1374",-59.6933333333333
"1375",-59.6466666666667
"1376",-59.65
"1377",-59.62
"1378",-59.6433333333333
"1379",-59.6566666666667
"1380",-59.6566666666667
"1381",-59.6833333333333
"1382",-59.73
"1383",-59.6966666666667
"1384",-59.6633333333333
"1385",-59.66
"1386",-59.64
"1387",-59.6666666666667
"1388",-59.68
"1389",-59.6533333333333
"1390",-59.6433333333333
"1391",-59.6633333333333
"1392",-59.6166666666667
"1393",-59.6033333333333
"1394",-59.6166666666667
"1395",-59.5966666666667
"1396",-59.53
"1397",-59.54
"1398",-59.59
"1399",-59.5666666666667
"1400",-59.5266666666667
"1401",-59.57
"1402",-59.6133333333333
"1403",-59.63
"1404",-59.6166666666667
"1405",-59.6233333333333
