starttime_asc,starttime,endtime,scaninfo.00:0C:42:68:DE:D3.signallevel,scaninfo.00:15:6D:65:17:B6.signallevel,scaninfo.00:15:6D:67:1D:F3.signallevel,scaninfo.00:19:5B:6C:BC:D9.signallevel,scaninfo.00:19:5B:6C:C0:25.signallevel,scaninfo.00:19:5B:6C:C0:2A.signallevel,scaninfo.00:19:5B:77:A5:EE.signallevel,scaninfo.00:19:5B:ED:BC:68.signallevel,scaninfo.00:1C:F0:CB:E9:21.signallevel,scaninfo.00:1C:F0:CB:E9:25.signallevel,scaninfo.00:1C:F0:CB:EC:14.signallevel,scaninfo.00:1C:F0:CB:EC:5B.signallevel,scaninfo.00:1C:F0:CB:EC:70.signallevel,scaninfo.00:1C:F0:CB:EC:89.signallevel,scaninfo.00:1C:F0:CB:EC:92.signallevel,scaninfo.00:1C:F0:CB:EC:95.signallevel,scaninfo.00:22:B0:42:7F:FB.signallevel
Sat Jan  8 09:05:33 2011,1294457733.33,1294457736.0,,,,,,,-84,,,,,-70,,-69,,-81,
Sat Jan  8 09:05:56 2011,1294457756.07,1294457758.84,-84,,,,,,-82,,,,,,,-72,,-81,
Sat Jan  8 09:06:18 2011,1294457778.91,1294457781.69,,-75,,,,,,,,,,-75,,-71,-56,-82,
Sat Jan  8 09:06:41 2011,1294457801.75,1294457804.42,-87,,,,,,,,,,,,,-71,-53,-81,
Sat Jan  8 09:07:04 2011,1294457824.49,1294457827.17,,,,,,,,,,,,-69,,,,,
Sat Jan  8 09:07:27 2011,1294457847.23,1294457849.9,-84,,,,,,-81,,,,,-72,,-72,,,
Sat Jan  8 09:07:49 2011,1294457869.97,1294457872.74,-85,,,,,,-84,,,,,-70,,-74,,,
Sat Jan  8 09:08:32 2011,1294457912.89,1294457915.56,-85,-77,,,,,-81,,,,,-69,,-72,-59,,
Sat Jan  8 09:08:55 2011,1294457935.62,1294457938.29,-83,-72,,,,,-83,,,,,-70,,-72,-54,,
Sat Jan  8 09:09:18 2011,1294457958.36,1294457961.02,-84,-76,,,,,-83,,,,,-72,,-72,,-83,
Sat Jan  8 09:09:41 2011,1294457981.08,1294457983.86,,-76,,,,,,,,,,-75,,-71,-67,-80,
Sat Jan  8 09:10:03 2011,1294458003.93,1294458006.6,-84,-75,,,,,-84,,,,,-70,,-71,-60,-80,
Sat Jan  8 09:10:26 2011,1294458026.68,1294458029.36,,,,,,,-82,,,,,-70,,-71,,-82,
Sat Jan  8 09:10:49 2011,1294458049.43,1294458052.1,-82,,,,,,-82,,,,,-70,,-72,,,
Sat Jan  8 09:11:32 2011,1294458092.23,1294458094.9,-82,,,,,,-82,,,,,-72,,-72,-60,-81,
Sat Jan  8 09:11:54 2011,1294458114.97,1294458117.74,,-76,,,,,-81,,,,,-68,-85,-72,,,
Sat Jan  8 09:12:17 2011,1294458137.82,1294458140.49,-84,-73,,,,,-81,,,,,-71,-85,-76,-57,,
Sat Jan  8 09:12:40 2011,1294458160.55,1294458163.32,-84,-76,,,,,,,,,,-71,,-72,-59,,
Sat Jan  8 09:13:03 2011,1294458183.38,1294458186.15,-82,,,,,,,,,,,-71,-86,-74,,,
Sat Jan  8 09:13:26 2011,1294458206.23,1294458209.0,,,,,,,,,,,,-71,,-72,,-82,
Sat Jan  8 09:13:49 2011,1294458229.06,1294458231.84,-83,-77,,,,,,,,,,-70,,-72,-57,-80,
Sat Jan  8 09:14:11 2011,1294458251.92,1294458254.6,-83,,,,,,-83,,,,,-69,,-78,-54,,
Sat Jan  8 09:14:34 2011,1294458274.66,1294458277.43,-82,-77,,,,,-82,,,,,-70,,-72,-59,,
Sat Jan  8 09:14:57 2011,1294458297.51,1294458300.28,,-77,,,,,-82,,,,,-70,,-72,-59,-80,
Sat Jan  8 09:15:20 2011,1294458320.34,1294458323.01,,-76,,,,,,,,,,-70,-85,-71,-53,-80,
Sat Jan  8 09:15:43 2011,1294458343.1,1294458345.77,-84,-76,,,,,,,,,,-72,,-72,,-80,
Sat Jan  8 09:16:05 2011,1294458365.83,1294458368.6,,-74,,,,,-82,,,,,-76,,-72,-63,-84,
Sat Jan  8 09:16:28 2011,1294458388.67,1294458391.44,-83,,,,,,-82,,,,,-74,,-78,-63,,
Sat Jan  8 09:16:51 2011,1294458411.5,1294458414.28,-83,,,,,,-84,,,,,-71,,-72,,,
Sat Jan  8 09:17:34 2011,1294458454.42,1294458457.1,,,,,,,,,,,,-71,,-72,-75,-81,
Sat Jan  8 09:17:57 2011,1294458477.17,1294458479.95,-83,-73,,,,,-84,,,,,-71,-85,-72,,,
Sat Jan  8 09:18:20 2011,1294458500.02,1294458502.8,-84,-76,,,,,-83,,,,,-71,-88,-72,,-81,
Sat Jan  8 09:18:42 2011,1294458522.88,1294458525.56,-83,-73,-88,,,,-82,,,,,-69,,-74,-59,,
Sat Jan  8 09:19:05 2011,1294458545.62,1294458548.3,-85,-73,,,,,,,,,,-72,,,-53,,
Sat Jan  8 09:19:28 2011,1294458568.36,1294458571.03,-87,-73,,,,,-85,,,,,,,-70,,-81,
Sat Jan  8 09:19:51 2011,1294458591.1,1294458593.78,,,,,,,-81,,,,,,,-75,-53,-81,
Sat Jan  8 09:20:33 2011,1294458633.92,1294458636.59,-84,,,,,,,,,,,-64,,-70,-62,-81,
Sat Jan  8 09:20:56 2011,1294458656.64,1294458659.32,-82,-71,,,,,-81,,,,,-72,,-70,-54,,
Sat Jan  8 09:21:19 2011,1294458679.4,1294458682.07,-84,-72,-87,,,,-80,,,,,-71,-86,-73,-61,-83,
Sat Jan  8 09:21:42 2011,1294458702.15,1294458704.92,-83,,,,,,,,,,,-75,-85,-74,-57,,
Sat Jan  8 09:22:04 2011,1294458725.0,1294458727.77,-83,-75,,,,,,,,,,-69,,-72,-54,,
Sat Jan  8 09:22:27 2011,1294458747.84,1294458750.61,-85,,,,,,,,,,,-70,,-72,,-83,
Sat Jan  8 09:22:50 2011,1294458770.66,1294458773.44,-84,-72,,,,,,,,,,-70,,-70,-67,-80,
Sat Jan  8 09:23:33 2011,1294458813.56,1294458816.33,,,,,,,-83,,,,,-71,-86,-72,,,
Sat Jan  8 09:23:56 2011,1294458836.4,1294458839.08,-88,-73,,,,,,,,,,-70,,-76,,,
Sat Jan  8 09:24:19 2011,1294458859.15,1294458861.82,-83,-69,,,,,,,,,,-69,,-70,-57,-81,
Sat Jan  8 09:24:41 2011,1294458881.89,1294458884.66,-85,-69,,,,,-83,,,,,-71,,-71,-63,-80,
Sat Jan  8 09:25:04 2011,1294458904.74,1294458907.41,-85,,,,,,-81,,,,,-71,,,-67,-80,
Sat Jan  8 09:25:27 2011,1294458927.48,1294458930.15,-83,-73,,,,,-84,,,,,-70,,,,,
Sat Jan  8 09:25:50 2011,1294458950.21,1294458952.98,,,,,,,,,,,,-75,,-72,-62,,
Sat Jan  8 09:26:33 2011,1294458993.12,1294458995.89,,,,,,,-82,,,,,,,-73,,-80,
Sat Jan  8 09:26:55 2011,1294459015.97,1294459018.75,,-73,,,,,-83,,,,,-72,,,-55,,
Sat Jan  8 09:27:18 2011,1294459038.81,1294459041.58,-84,-73,,,,,,,,,,-72,,-73,-62,-82,
Sat Jan  8 09:27:41 2011,1294459061.66,1294459064.43,,,,,,,,,,,,-71,,,-55,,
Sat Jan  8 09:28:04 2011,1294459084.51,1294459087.28,-84,,,,,,,,,,,-70,,-71,,,
Sat Jan  8 09:28:27 2011,1294459107.35,1294459110.22,-84,,,,,,,,,,,-69,,-80,,-80,
Sat Jan  8 09:28:50 2011,1294459130.29,1294459133.07,-84,,,,,,,,,,,-69,-83,-69,-57,-79,
Sat Jan  8 09:29:33 2011,1294459173.2,1294459175.98,-84,,,,,,,,,,,-78,,-73,-54,,
Sat Jan  8 09:29:56 2011,1294459196.04,1294459198.82,-82,,,,,,,,,,,-69,,-70,,,
Sat Jan  8 09:30:18 2011,1294459218.88,1294459221.66,-83,-77,,,,,-81,,,,,-74,,-72,-57,-80,
Sat Jan  8 09:30:41 2011,1294459241.73,1294459244.51,-83,,,,,,,,,,,,,,-60,,
Sat Jan  8 09:31:04 2011,1294459264.58,1294459267.36,-82,-76,,,,,,,,,,-69,,-71,-54,-81,
Sat Jan  8 09:31:27 2011,1294459287.42,1294459290.1,,,,,,,-83,,,,,-69,,-71,-59,-79,
Sat Jan  8 09:31:50 2011,1294459310.16,1294459312.94,,,,,,,-83,,,,,-70,,-72,,-81,
Sat Jan  8 09:32:33 2011,1294459353.08,1294459355.85,-82,,,,,,,,,,,,,,,-78,
Sat Jan  8 09:32:55 2011,1294459375.93,1294459378.71,-83,-77,,,,,-84,,,,,-73,,-82,-57,,
Sat Jan  8 09:33:18 2011,1294459398.78,1294459401.55,-84,-74,,,,,-82,,,,,-72,-84,-71,-54,-80,
Sat Jan  8 09:33:41 2011,1294459421.61,1294459424.28,-82,,,,,,-80,,,,,-66,,,,-82,
Sat Jan  8 09:34:04 2011,1294459444.34,1294459447.11,-82,,,,,,,,,,,,-85,-73,-76,-83,
Sat Jan  8 09:34:27 2011,1294459467.19,1294459469.96,,-73,,,,,,,,,,-69,-86,-72,-54,-82,
Sat Jan  8 09:34:50 2011,1294459490.04,1294459492.82,-83,-73,,,,,,,,,,-67,,-66,,,
Sat Jan  8 09:35:32 2011,1294459532.97,1294459535.74,-84,-75,,,,,-81,,,,,-69,,-71,-54,-82,
Sat Jan  8 09:35:55 2011,1294459555.8,1294459558.67,-83,,,,,,-81,,,,,-69,,-75,,,
Sat Jan  8 09:36:18 2011,1294459578.74,1294459581.51,-83,-76,,,,,-81,,,,,-69,,-72,-68,-82,
Sat Jan  8 09:36:41 2011,1294459601.6,1294459604.38,-83,-75,,,,,,,,,,-75,,-72,-53,,
Sat Jan  8 09:37:04 2011,1294459624.46,1294459627.24,-82,-72,,,,,,,,,,,,,-56,,
Sat Jan  8 09:37:27 2011,1294459647.31,1294459650.18,,,,,,,-85,,,,,-68,,-72,-63,,
Sat Jan  8 09:37:50 2011,1294459670.28,1294459673.07,,,,,,,,,,,,-67,,-71,-53,,
Sat Jan  8 09:38:33 2011,1294459713.21,1294459715.89,,,,,,,,,,,,-69,,-72,-53,,
Sat Jan  8 09:38:55 2011,1294459735.94,1294459738.72,-82,-74,,,,,-84,,,,,-68,,-72,-63,-82,
Sat Jan  8 09:39:18 2011,1294459758.8,1294459761.47,-82,-77,,,,,,,,,,-77,,-72,,-82,
Sat Jan  8 09:39:41 2011,1294459781.54,1294459784.22,-81,,,,,,,,,,,-66,,-71,,-82,
Sat Jan  8 09:40:04 2011,1294459804.3,1294459807.07,-83,,,,,,-84,,,,,-67,,-71,-69,-80,
Sat Jan  8 09:40:27 2011,1294459827.14,1294459829.81,-82,,,,,,-82,,,,,-70,,-72,,-80,
Sat Jan  8 09:40:49 2011,1294459849.87,1294459852.64,-84,,,,,,-81,,,,,,,,,-81,
Sat Jan  8 09:41:32 2011,1294459892.78,1294459895.56,-83,,,,,,-83,,,,,-68,,-70,,-79,
Sat Jan  8 09:41:55 2011,1294459915.64,1294459918.41,,,,,,,-82,,,,,,,-71,,-79,
Sat Jan  8 09:42:18 2011,1294459938.48,1294459941.26,-84,-76,,,,,-83,,,,,-68,,-72,-66,-81,
Sat Jan  8 09:42:41 2011,1294459961.32,1294459964.1,,-73,,,,,-81,,,,,-68,,-71,,,
Sat Jan  8 09:43:04 2011,1294459984.18,1294459986.84,-84,-76,,,,,,,,,,-69,,-71,,,
Sat Jan  8 09:43:26 2011,1294460006.93,1294460009.7,-84,-73,,,,,,,,,,,,-72,,-83,
Sat Jan  8 09:43:49 2011,1294460029.78,1294460032.55,-83,,,,,,,,,,,,-83,-71,-57,,
Sat Jan  8 09:44:32 2011,1294460072.69,1294460075.46,,-73,,,,,-83,,,,,,-84,,,,
Sat Jan  8 09:44:55 2011,1294460095.53,1294460098.31,-84,-73,,,,,,,,,,-70,,,,,
Sat Jan  8 09:45:18 2011,1294460118.4,1294460121.08,-84,-76,,,,,,,,,,-70,,-71,-54,-84,
Sat Jan  8 09:45:41 2011,1294460141.13,1294460143.91,,,,,,,,,,,,-74,,-71,,-78,
Sat Jan  8 09:46:03 2011,1294460163.97,1294460166.75,,-72,,,,,-82,,,,,,,,-63,-82,
Sat Jan  8 09:46:26 2011,1294460186.81,1294460189.59,,,,,,,-82,,,,,-72,,,-54,-79,
Sat Jan  8 09:46:49 2011,1294460209.66,1294460212.33,,,,,,,-82,,,,,-73,,-71,,-82,
Sat Jan  8 09:47:32 2011,1294460252.47,1294460255.24,-82,,,,,,-82,,,,,-74,,-72,-68,-78,
Sat Jan  8 09:47:55 2011,1294460275.31,1294460277.98,-84,,,,,,-83,,,,,-72,,-74,,-81,
Sat Jan  8 09:48:18 2011,1294460298.05,1294460300.83,-84,-73,,,,,-82,,,,,-73,,-74,,,
Sat Jan  8 09:48:40 2011,1294460320.89,1294460323.66,-83,-73,,,,,,,,,,-69,,-72,,,
Sat Jan  8 09:49:03 2011,1294460343.74,1294460346.41,-83,,,,,,,,,,,-83,,-78,,,
Sat Jan  8 09:49:26 2011,1294460366.5,1294460369.27,-81,,,,,,,,,,,-69,,-79,,-78,
Sat Jan  8 09:49:49 2011,1294460389.36,1294460392.13,-82,-75,,,,,,,,,,-68,,-73,-55,-78,
Sat Jan  8 09:50:32 2011,1294460432.29,1294460435.16,-83,-75,,,,,,,,,,-69,,,,,
Sat Jan  8 09:50:55 2011,1294460455.25,1294460458.22,-82,,,,,,-83,,,,,-79,,,-62,-79,
Sat Jan  8 09:51:18 2011,1294460478.3,1294460481.08,-84,-73,,,,,-84,,,,,-72,-85,-78,-54,-78,
Sat Jan  8 09:51:41 2011,1294460501.16,1294460504.03,,,,,,,-82,,,,,-70,-84,-74,-57,-81,
Sat Jan  8 09:52:04 2011,1294460524.09,1294460526.86,,,,,,,-82,,,,,,,-73,,,
Sat Jan  8 09:52:26 2011,1294460546.93,1294460549.8,-83,-73,,,,,,,,,,,,,-67,-83,
Sat Jan  8 09:52:49 2011,1294460569.88,1294460572.65,,-73,,,,,,,,,,-65,,,-67,,
Sat Jan  8 09:53:32 2011,1294460612.81,1294460615.58,,,,,,,-82,,,,,-72,,-71,,,
Sat Jan  8 09:53:55 2011,1294460635.65,1294460638.33,-83,,,,,,-82,,,,,-72,,-75,-61,,
Sat Jan  8 09:54:18 2011,1294460658.39,1294460661.17,,,,,,,-81,,,,,-77,,-73,-57,,
Sat Jan  8 09:54:41 2011,1294460681.22,1294460684.0,,,,,,,,,,,,-73,,,-54,,
Sat Jan  8 09:55:04 2011,1294460704.07,1294460706.84,-83,-72,,,,,,,,,,-66,,-72,,,
Sat Jan  8 09:55:26 2011,1294460726.91,1294460729.69,-84,,,,,,,,,,,-72,,-70,,-78,
Sat Jan  8 09:55:49 2011,1294460749.78,1294460752.56,-84,-76,,,,,,,,,,,,,-58,-77,
Sat Jan  8 09:56:32 2011,1294460792.71,1294460795.49,-87,-75,,,,,,,,,,-71,,-73,-64,-81,
Sat Jan  8 09:56:55 2011,1294460815.56,1294460818.43,-83,-73,,,,,,,,,,,,-73,,-81,
Sat Jan  8 09:57:18 2011,1294460838.51,1294460841.19,-84,-73,,,,,,,,,,-69,-85,-73,,-81,
Sat Jan  8 09:57:41 2011,1294460861.25,1294460864.02,-84,,,,,,,,,,,-70,,-78,,-76,
Sat Jan  8 09:58:04 2011,1294460884.1,1294460886.87,-84,-72,,,,,-82,,,,,-75,,,-64,-79,
Sat Jan  8 09:58:26 2011,1294460906.94,1294460909.82,,-75,,,,,,,,,,-70,,-75,-56,-78,
Sat Jan  8 09:58:49 2011,1294460929.88,1294460932.55,,,,,,,-83,,,,,-70,,-67,,-81,
Sat Jan  8 09:59:32 2011,1294460972.69,1294460975.46,-84,,,,,,,,,,,-69,,-79,-55,-78,
Sat Jan  8 09:59:55 2011,1294460995.52,1294460998.3,-84,,,,,,-81,,,,,-70,-84,-78,,,
Sat Jan  8 10:00:18 2011,1294461018.36,1294461021.14,-79,-75,,,,,-80,,,,,-79,-86,-79,-70,-77,
Sat Jan  8 10:00:41 2011,1294461041.21,1294461044.09,,,,,,,-82,,,,,,,-72,,-79,
Sat Jan  8 10:01:04 2011,1294461064.15,1294461067.03,-84,,,,,,-83,,,,,-69,,,-54,-79,
Sat Jan  8 10:01:27 2011,1294461087.1,1294461089.88,-84,,,,,,-82,,,,,,,-72,,-79,
Sat Jan  8 10:01:49 2011,1294461109.95,1294461112.83,,-71,,,,,-83,,,,,,,-70,-68,-81,
Sat Jan  8 10:02:32 2011,1294461152.97,1294461155.75,,,,,,,,,,,,-68,,-72,-61,-78,
Sat Jan  8 10:02:55 2011,1294461175.81,1294461178.7,-84,,,,,,,,,,,-67,,-72,-57,-78,
Sat Jan  8 10:03:18 2011,1294461198.77,1294461201.54,-82,-72,,,,,-82,,,,,-66,,-76,-69,-82,
Sat Jan  8 10:03:41 2011,1294461221.61,1294461224.59,-83,,,,,,,,,,,-67,,-69,-57,-81,
Sat Jan  8 10:04:04 2011,1294461244.66,1294461247.54,-83,-72,,,,,-83,,,,,-66,,,,-83,
Sat Jan  8 10:04:27 2011,1294461267.6,1294461270.48,,-72,,,,,,,,,,-70,-85,,-60,-80,
Sat Jan  8 10:04:50 2011,1294461290.55,1294461293.33,-84,-73,-87,,,,,,,,,-73,,-76,,,
Sat Jan  8 10:05:33 2011,1294461333.47,1294461336.34,,,,,,,-82,,,,,,,-77,-67,-81,
Sat Jan  8 10:05:56 2011,1294461356.41,1294461359.19,-83,-72,,,,,,,,,,-72,,-79,-56,,
Sat Jan  8 10:06:19 2011,1294461379.26,1294461382.03,-84,-72,,,,,-82,,,,,-70,,-78,-71,-80,
Sat Jan  8 10:06:42 2011,1294461402.1,1294461404.98,-83,,,,,,,,,,,-73,,-78,-58,-81,
Sat Jan  8 10:07:05 2011,1294461425.05,1294461427.82,,,,,,,,,,,,-70,,,,,
Sat Jan  8 10:07:27 2011,1294461447.88,1294461450.76,-85,,,,,,,,,,,-68,,,,-82,
Sat Jan  8 10:07:50 2011,1294461470.82,1294461473.6,,-73,,,,,,,,,,-71,,,-67,-81,
Sat Jan  8 10:08:33 2011,1294461513.72,1294461516.5,,-73,,,,,-82,,,,,-69,,,-70,-78,
Sat Jan  8 10:08:56 2011,1294461536.57,1294461539.34,,-73,,,,,,,,,,-71,,-73,-66,-81,
Sat Jan  8 10:09:19 2011,1294461559.41,1294461562.18,-85,-73,,,,,,,,,,-74,,-75,-56,,
Sat Jan  8 10:09:42 2011,1294461582.24,1294461585.02,-84,,,,,,,,,,,-70,,,,,
Sat Jan  8 10:10:05 2011,1294461605.08,1294461607.95,-83,,,,,,,,,,,,,,-65,-77,
Sat Jan  8 10:10:28 2011,1294461628.02,1294461630.79,,-75,,,,,,,,,,-69,,,,-78,
Sat Jan  8 10:10:50 2011,1294461650.88,1294461653.75,-80,-73,,,,,,,,,,-72,,-76,,-79,
Sat Jan  8 10:11:33 2011,1294461693.89,1294461696.67,,-72,,,,,,,,,,-69,-83,,,,
Sat Jan  8 10:11:56 2011,1294461716.74,1294461719.52,-85,-72,,,,,,,,,,-68,-84,-76,,,
Sat Jan  8 10:12:19 2011,1294461739.59,1294461742.47,-84,-73,,,,,-79,,,,,-69,,,-56,-80,
Sat Jan  8 10:12:42 2011,1294461762.53,1294461765.3,-83,-73,,,,,,,,,,-67,,-77,-60,-80,
Sat Jan  8 10:13:05 2011,1294461785.35,1294461788.13,-82,-74,,,,,,,,,,-70,,,-56,-78,
Sat Jan  8 10:13:28 2011,1294461808.2,1294461811.07,,-72,,,,,,,,,,-73,-86,,-56,-81,
Sat Jan  8 10:13:51 2011,1294461831.15,1294461833.93,,-72,,,,,-82,,,,,-66,,-76,-63,-78,
Sat Jan  8 10:14:34 2011,1294461874.06,1294461876.94,-84,,,,,,-85,,,,,-64,,-75,-54,,
Sat Jan  8 10:14:56 2011,1294461897.0,1294461899.77,-84,-72,,,,,,,,,,-69,,-75,-53,,
Sat Jan  8 10:15:19 2011,1294461919.85,1294461922.62,-85,-73,,,,,-81,,,,,,-85,-74,,-80,
Sat Jan  8 10:15:42 2011,1294461942.69,1294461945.45,-80,,,,,,,,,,,,,,-60,-81,
Sat Jan  8 10:16:05 2011,1294461965.52,1294461968.29,-81,,,,,,-80,,,,,,,-75,,-80,
Sat Jan  8 10:16:28 2011,1294461988.37,1294461991.25,,-73,,,,,-82,,,,,-72,,,-61,-80,
Sat Jan  8 10:16:51 2011,1294462011.33,1294462014.1,-84,-72,,,,,-81,,,,,-69,,-75,,-78,
Sat Jan  8 10:17:34 2011,1294462054.23,1294462057.11,-84,,,,,,,,,,,-70,,-72,,,
Sat Jan  8 10:17:57 2011,1294462077.19,1294462079.96,-83,,,,,,,,,,,,,,-57,-79,
Sat Jan  8 10:18:20 2011,1294462100.03,1294462102.9,-83,-74,,,,,-84,,,,,-69,,-72,-54,-81,
Sat Jan  8 10:18:42 2011,1294462122.97,1294462125.74,-83,-72,,,,,,,,,,-69,,,-58,,
Sat Jan  8 10:19:05 2011,1294462145.81,1294462148.59,-85,-72,,,,,,,,,,-70,-85,-75,,-82,
Sat Jan  8 10:19:28 2011,1294462168.65,1294462171.53,-83,-75,,,,,,,,,,-67,,,-53,-79,
Sat Jan  8 10:19:51 2011,1294462191.59,1294462194.46,,-75,,,,,,,,,,-72,,,,-79,
Sat Jan  8 10:20:34 2011,1294462234.63,1294462237.31,-83,,,,,,,,,,,,,,-59,,
Sat Jan  8 10:20:57 2011,1294462257.38,1294462260.16,,,,,,,,,,,,-63,,,,,
Sat Jan  8 10:21:20 2011,1294462280.23,1294462283.1,-84,-72,,,,,,,,,,-69,,-77,-56,,
Sat Jan  8 10:21:43 2011,1294462303.18,1294462306.05,-82,,,,,,,,,,,-69,,,,,
Sat Jan  8 10:22:06 2011,1294462326.11,1294462328.99,,,,,,,-85,,,,,-72,,,,,
Sat Jan  8 10:22:29 2011,1294462349.06,1294462351.95,-81,,,,,,,,,,,,,,,-83,
Sat Jan  8 10:22:52 2011,1294462372.01,1294462374.88,-83,-75,,,,,,,,,,-70,-85,,,,
Sat Jan  8 10:23:14 2011,1294462394.96,1294462397.84,-82,-72,,,,-85,-82,,,,,-73,,,-59,-81,
Sat Jan  8 10:23:37 2011,1294462417.91,1294462420.79,-83,-76,,,,,,,,,,-72,,-75,-59,,
Sat Jan  8 10:24:00 2011,1294462440.86,1294462443.63,-85,-75,,,,,,,,,,-68,,,-63,,
Sat Jan  8 10:24:23 2011,1294462463.72,1294462466.59,-84,,,,,,-81,,,,,-75,,,-60,-80,
Sat Jan  8 10:24:46 2011,1294462486.65,1294462489.43,-83,-76,,,,,,,,,,-69,,-75,-56,-80,
Sat Jan  8 10:25:09 2011,1294462509.49,1294462512.26,,,,,,,,,,,,-66,,,,-78,
Sat Jan  8 10:25:32 2011,1294462532.33,1294462535.21,-83,,,,,,,,,,,,,-75,-63,-79,
Sat Jan  8 10:25:55 2011,1294462555.3,1294462558.17,-82,-73,,,,,,,,,,-73,,-73,-53,-77,
Sat Jan  8 10:26:18 2011,1294462578.23,1294462581.1,-83,-73,,,,,,,,,,-69,-85,,-56,-79,
Sat Jan  8 10:26:41 2011,1294462601.17,1294462604.05,,,,,,,,,,,,-66,,,,-78,
Sat Jan  8 10:27:04 2011,1294462624.12,1294462626.99,,-73,,,,,,,,,,-66,,-68,-56,-78,
Sat Jan  8 10:27:27 2011,1294462647.05,1294462649.83,-82,-73,,,,,-81,,,,,-73,,,-56,-78,
Sat Jan  8 10:27:49 2011,1294462669.91,1294462672.59,-83,,,,,,-83,,,,,-79,,,,-79,
Sat Jan  8 10:28:32 2011,1294462712.73,1294462715.5,-83,,,,,,-82,,,,,-69,,-76,,-81,
Sat Jan  8 10:28:55 2011,1294462735.57,1294462738.24,-83,-76,,,,,-82,,,,,,,,,-81,
Sat Jan  8 10:29:18 2011,1294462758.31,1294462761.09,-84,-73,-86,,,,-81,,,,,-71,,-81,-56,-77,
Sat Jan  8 10:29:41 2011,1294462781.15,1294462783.93,-83,,,,,,-81,,,,,-65,,-75,-53,-78,
Sat Jan  8 10:30:03 2011,1294462803.99,1294462806.77,-83,-73,,,,,-81,,,,,-73,,-79,-73,-81,
Sat Jan  8 10:30:26 2011,1294462826.84,1294462829.72,-84,-73,-83,,,,-81,,,,,-69,,,,-81,
Sat Jan  8 10:30:49 2011,1294462849.78,1294462852.56,,-73,,,,,,,,,,-69,,-75,,-81,
Sat Jan  8 10:31:32 2011,1294462892.7,1294462895.38,-84,,,,,,-83,,,,,-68,,-76,,,
Sat Jan  8 10:31:55 2011,1294462915.45,1294462918.22,,-74,,,,,-83,,,,,,,,-75,-81,
Sat Jan  8 10:32:18 2011,1294462938.3,1294462941.08,-84,-73,,,,,-82,,,,,-72,-84,-78,,-77,
Sat Jan  8 10:32:41 2011,1294462961.14,1294462963.93,-82,,,,,,,,,,,-69,,,-53,-82,
Sat Jan  8 10:33:04 2011,1294462984.01,1294462986.78,-82,-76,,,,,,,,,,,,,-60,-80,
Sat Jan  8 10:33:26 2011,1294463006.87,1294463009.55,-85,,,,,,,,,,,-69,,,,-80,
Sat Jan  8 10:33:49 2011,1294463029.61,1294463032.38,-84,-75,,,,,-81,,,,,-69,,-76,,-78,
Sat Jan  8 10:34:32 2011,1294463072.51,1294463075.18,-84,,,,,,,,,,,,,,,-81,
Sat Jan  8 10:34:55 2011,1294463095.26,1294463097.94,,,,,,,,,,,,-68,,-75,,,
Sat Jan  8 10:35:18 2011,1294463118.01,1294463120.78,,-75,,,,,-83,,,,,-76,-86,-78,,-80,
Sat Jan  8 10:35:40 2011,1294463140.84,1294463143.72,-84,,,,,,-82,,,,,,-86,,-57,-80,
Sat Jan  8 10:36:03 2011,1294463163.79,1294463166.57,,,,,,,-83,,,,,-70,,,-63,-80,
Sat Jan  8 10:36:26 2011,1294463186.64,1294463189.51,-83,-73,,,,,-83,,,,,-71,,,,-79,
Sat Jan  8 10:36:49 2011,1294463209.58,1294463212.45,-84,,,,,,,,,,,-72,,,-61,-82,
Sat Jan  8 10:37:32 2011,1294463252.61,1294463255.39,-82,-73,,,,,,,,,,-68,,,-66,,
Sat Jan  8 10:37:55 2011,1294463275.45,1294463278.32,-83,,,,,,,,,,,-73,,,,,
Sat Jan  8 10:38:18 2011,1294463298.39,1294463301.27,-83,,,,,,,,,,,-73,,-74,,-82,
Sat Jan  8 10:38:41 2011,1294463321.33,1294463324.2,,-74,,,,,,,,,,-69,,-78,-54,-77,
Sat Jan  8 10:39:04 2011,1294463344.26,1294463347.03,,,,,,,,,,,,-73,,-74,,,
Sat Jan  8 10:39:27 2011,1294463367.11,1294463369.98,-83,-75,,,,,,,,,,-67,,,,-79,
Sat Jan  8 10:39:50 2011,1294463390.05,1294463392.83,-83,-73,,,,,-82,,,,,-70,,,,-78,
Sat Jan  8 10:40:32 2011,1294463432.98,1294463435.75,-85,,,,,,,,,,,-72,,,,-80,
Sat Jan  8 10:40:55 2011,1294463455.81,1294463458.69,-83,-73,,,,,,,,,,-69,,,,,
Sat Jan  8 10:41:18 2011,1294463478.76,1294463481.63,-83,,,,,,,,,,,-69,-84,-75,-54,-81,
Sat Jan  8 10:41:41 2011,1294463501.7,1294463504.48,-84,,,,,,,,,,,,,,,-81,
Sat Jan  8 10:42:04 2011,1294463524.55,1294463527.43,-85,,,,,,,,,,,-67,,,-54,,
Sat Jan  8 10:42:27 2011,1294463547.52,1294463550.4,-82,,,,,,,,,,,-67,,-75,,-81,
Sat Jan  8 10:42:50 2011,1294463570.47,1294463573.34,,,,,,,,,,,,-71,,-77,,-81,
Sat Jan  8 10:43:33 2011,1294463613.5,1294463616.38,-83,,,,,,-81,,,,,-72,,,,-78,
