starttime_asc,starttime,endtime,scaninfo.00:0C:42:68:DE:D3.signallevel,scaninfo.00:15:6D:65:17:B6.signallevel,scaninfo.00:15:6D:67:1D:F3.signallevel,scaninfo.00:19:5B:6C:BC:D9.signallevel,scaninfo.00:19:5B:6C:C0:25.signallevel,scaninfo.00:19:5B:6C:C0:2A.signallevel,scaninfo.00:19:5B:77:A5:EE.signallevel,scaninfo.00:19:5B:ED:BC:68.signallevel,scaninfo.00:1C:F0:CB:E9:21.signallevel,scaninfo.00:1C:F0:CB:E9:25.signallevel,scaninfo.00:1C:F0:CB:EC:14.signallevel,scaninfo.00:1C:F0:CB:EC:5B.signallevel,scaninfo.00:1C:F0:CB:EC:70.signallevel,scaninfo.00:1C:F0:CB:EC:89.signallevel,scaninfo.00:1C:F0:CB:EC:92.signallevel,scaninfo.00:1C:F0:CB:EC:95.signallevel,scaninfo.00:22:B0:42:7F:FB.signallevel
Wed Jan  5 19:25:32 2011,1294235732.55,1294235735.32,-81,,,,,,-81,,,,,-62,,,-60,-80,
Wed Jan  5 19:25:55 2011,1294235755.38,1294235758.26,,,,,,,,,,,,-61,,,-66,-79,
Wed Jan  5 19:26:18 2011,1294235778.33,1294235781.1,,,,,,,-81,,,,,-62,,-79,-54,-81,
Wed Jan  5 19:26:41 2011,1294235801.18,1294235804.06,-82,,,,,,,,,,,-61,,-75,-57,,
Wed Jan  5 19:27:04 2011,1294235824.12,1294235826.99,-83,,,,,,,,,,,,,,,-81,
Wed Jan  5 19:27:27 2011,1294235847.05,1294235849.82,,,,,,,,,,,,-63,,,-65,,
Wed Jan  5 19:27:49 2011,1294235869.88,1294235872.66,-80,-76,,,,,,,,,,,,,,-82,
Wed Jan  5 19:28:32 2011,1294235912.8,1294235915.58,-86,,,,,,-82,,,,,,,,,-79,
Wed Jan  5 19:28:55 2011,1294235935.64,1294235938.42,-84,,,,,,,,,,,,,-75,-58,-81,
Wed Jan  5 19:29:18 2011,1294235958.48,1294235961.36,-86,-76,,,,,-81,,,-87,,-63,,-76,-56,-80,
Wed Jan  5 19:29:41 2011,1294235981.41,1294235984.19,,-75,,,,,,,,,,-69,,-75,,,
Wed Jan  5 19:30:04 2011,1294236004.26,1294236007.03,-82,,,,,,,,,,,-64,,-69,-72,-81,
Wed Jan  5 19:30:27 2011,1294236027.08,1294236029.86,-83,,,,,,,,,,,-69,,-78,-57,,
Wed Jan  5 19:30:49 2011,1294236049.94,1294236052.8,-82,,,,,,,,,,,-70,,-78,,-82,
Wed Jan  5 19:31:32 2011,1294236092.95,1294236095.82,-83,,,,,,-81,,,,,-62,,-70,-56,-80,
Wed Jan  5 19:31:55 2011,1294236115.89,1294236118.77,-83,-74,,,,,-80,,,,,-66,,,,-81,
Wed Jan  5 19:32:18 2011,1294236138.84,1294236141.62,-84,-76,,,,,-81,,,,,-63,,-76,-54,-81,
Wed Jan  5 19:32:41 2011,1294236161.67,1294236164.54,,,,,,,,,,,,-63,,,,-81,
Wed Jan  5 19:33:04 2011,1294236184.62,1294236187.4,,-76,,,,,,,,,,-63,,,-73,,
Wed Jan  5 19:33:27 2011,1294236207.48,1294236210.35,,-76,,,,,,,,,,-61,,-75,,-84,
Wed Jan  5 19:33:50 2011,1294236230.42,1294236233.3,-81,,,,,,,,,,,,,-79,-52,-81,
Wed Jan  5 19:34:33 2011,1294236273.44,1294236276.31,-81,-75,,,,,-82,,,,,-75,,,-61,,
Wed Jan  5 19:34:56 2011,1294236296.38,1294236299.26,-82,-75,,,,,-80,,,,,-75,,-61,,,
Wed Jan  5 19:35:19 2011,1294236319.32,1294236322.2,-88,,,,,,-80,,,,,-72,,-68,-58,,
Wed Jan  5 19:35:42 2011,1294236342.27,1294236345.15,,,,,,,-82,,,,,-76,,,,,
Wed Jan  5 19:36:05 2011,1294236365.22,1294236368.09,-81,,,,,,-80,,,,,-71,,-76,,,
Wed Jan  5 19:36:28 2011,1294236388.18,1294236390.95,-82,,,,,,-80,,,,,-70,,-68,,,
Wed Jan  5 19:36:51 2011,1294236411.01,1294236413.89,-82,,,,,,-81,,,,,-62,,,-72,-81,
Wed Jan  5 19:37:34 2011,1294236454.04,1294236456.92,-81,-76,,,,,,,,,,,,-76,-57,-80,
Wed Jan  5 19:37:56 2011,1294236476.99,1294236479.86,-83,,,,,,,,,,,-71,,-77,-52,-81,
Wed Jan  5 19:38:19 2011,1294236499.94,1294236502.81,-82,-74,,,,,-82,,,,,-63,,-81,-52,-82,
Wed Jan  5 19:38:42 2011,1294236522.88,1294236525.76,-84,,,,,,,,,,,-81,,-77,-66,,
Wed Jan  5 19:39:05 2011,1294236545.83,1294236548.6,-83,,,,,,,,,,,-72,,,,-81,
Wed Jan  5 19:39:28 2011,1294236568.67,1294236571.45,-83,,,,,,,,,,,,,-76,,,
Wed Jan  5 19:39:51 2011,1294236591.52,1294236594.3,,-77,,,,,,,,,,-73,,-77,-55,,
Wed Jan  5 19:40:34 2011,1294236634.42,1294236637.3,-83,,,,,,-82,,,,,-78,,,,-82,
Wed Jan  5 19:40:57 2011,1294236657.36,1294236660.23,-82,,,,,,-80,,,,,-68,,-81,-57,,
Wed Jan  5 19:41:20 2011,1294236680.3,1294236683.18,-82,-78,,,,,-81,,,,,-67,,-78,-55,-82,
Wed Jan  5 19:41:43 2011,1294236703.25,1294236706.02,,,,,,,-81,,,,,-69,,-75,-67,-79,
Wed Jan  5 19:42:06 2011,1294236726.08,1294236728.96,,,,,,,-86,,,,,-64,,,-57,-80,
Wed Jan  5 19:42:29 2011,1294236749.03,1294236751.8,-86,,,,,,,,,,,-71,,-81,,-81,
Wed Jan  5 19:42:51 2011,1294236771.86,1294236774.63,-84,-78,,,,,,,,,,-71,,,,,
Wed Jan  5 19:43:34 2011,1294236814.76,1294236817.54,,,,,,,-81,,,,,-68,,-69,,-82,
Wed Jan  5 19:43:57 2011,1294236837.62,1294236840.39,-82,,,,,,-84,,,,,-67,,-84,,-82,
Wed Jan  5 19:44:20 2011,1294236860.46,1294236863.34,-84,-78,,,,,,,,,,-62,,-83,-57,-81,
Wed Jan  5 19:44:43 2011,1294236883.39,1294236886.16,-82,,,,,,,,,,,,,-85,-57,,
Wed Jan  5 19:45:06 2011,1294236906.22,1294236909.1,-83,,,,,,,,,,,-71,,,,,
Wed Jan  5 19:45:29 2011,1294236929.17,1294236931.94,-82,,,,,,,,,,,-72,-85,,-51,,
Wed Jan  5 19:45:52 2011,1294236952.01,1294236954.88,-82,,,,,,-86,,,,,-79,,,-56,-79,
Wed Jan  5 19:46:14 2011,1294236974.94,1294236977.8,-83,-76,,,,,-81,,,,,-69,,-70,,-80,
Wed Jan  5 19:46:37 2011,1294236997.86,1294237000.74,-82,-76,,,,,,,,,,-69,,-72,-54,,
Wed Jan  5 19:47:00 2011,1294237020.81,1294237023.68,,,,,,,,,,,,,,,-57,-82,
Wed Jan  5 19:47:23 2011,1294237043.75,1294237046.52,-83,-75,,,,,-81,,,-88,,-75,,-69,,-80,
Wed Jan  5 19:47:46 2011,1294237066.58,1294237069.35,,,,,,,-84,,,,,,,-71,,,
Wed Jan  5 19:48:09 2011,1294237089.41,1294237092.29,-82,,,,,,-81,,,,,-71,,-71,-63,-82,
Wed Jan  5 19:48:32 2011,1294237112.37,1294237115.15,-83,,,,,,-81,,,,,,,,-64,,
Wed Jan  5 19:48:55 2011,1294237135.21,1294237137.98,-84,-77,,,,,-81,,,,,-68,,-75,,,
Wed Jan  5 19:49:18 2011,1294237158.05,1294237160.92,-85,-75,,,,,-80,,,,,-72,,-73,-67,,
Wed Jan  5 19:49:40 2011,1294237180.98,1294237183.85,-83,,,,,,-81,,,,,-67,,,-70,,
Wed Jan  5 19:50:03 2011,1294237203.92,1294237206.69,-83,,,,,,-80,,,,,-70,,,-58,,
Wed Jan  5 19:50:26 2011,1294237226.75,1294237229.53,-83,,,,,,,,,,,-60,,,-75,,
Wed Jan  5 19:50:49 2011,1294237249.61,1294237252.39,-83,,,,,,,,,,,,,,-57,-83,
Wed Jan  5 19:51:32 2011,1294237292.54,1294237295.41,-82,,,,,,-81,,,,,,,-72,-60,,
Wed Jan  5 19:51:55 2011,1294237315.47,1294237318.35,-83,-75,,,,,-81,,,,,-73,,-69,-70,,
